Report generated on: 07-12-2024 00:33:58
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"","petroleum and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-FRA-TBPD.A","        France","","","","","","","","83","92","86","89","93","106","107","111","119","116","112","113","114","67.67671232876712","68.21655890410959","61.4137205479452","56.101204918032785","48.06578356164383","42.50703561643836","42.11794246575342","43.58504098360656","39.972786301369865","37.93161095890411","38.9426301369863","88.55348633879781","84.82229863013698","80.99742191780823","73.44918356164384","75.0559","69.55148493150685","126.49473150684932","121.27183698630137","117.82286612021856","119.0561397260274","120.94548630136987","122.89583287671233","106.20428895088526","110.2771850550137","116.36322382167123","99.63383575342466","105.55833060109289","107.91239986377091","106.48176535139677","106.92719754060366",""
"INTL.53-1-DEU-TBPD.A","        Germany","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","148","132","80.12328767123287","76.36442191780822","76.27665753424658","72.76243715846995","73.47965753424657","75.63845479452054","75.44115890410959","85.82327049180329","85.53984383561644","91.23853424657534","94.61652328767123","167.87617486338797","145.74125479452056","157.07093150684932","143.9851397260274","152.01526721311475","148.35620684931507","205.3683","210.3131","203.2896","198.59058356164385","193.9047712328767","186.43361369863013","172.48243717298908","165.91460089041095","169.2988294249315","162.12994446575343","185.58012076502732","188.70478775557783","185.22294659172834","185.2435463241283",""
"INTL.53-1-DDR-TBPD.A","        Germany, East","","","","","","","","-6.2","-6.6","-7","-5.6","3.9","0.6","1.1","1.8","2.2","2.5","4","--","--","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",""
"INTL.53-1-DEUW-TBPD.A","        Germany, West","","","","","","","","124","108","117","129","140","148","148","143","155","149","151","--","--","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",""
"INTL.53-1-GRC-TBPD.A","        Greece","","","","","","","","1","10","24","29","31","30","24","25","24","21","19","19","20","11.493150684931507","10.962564383561643","9.32054794520548","9.862565573770492","9.564383561643835","6.980821917808219","0.2547945205479452","5.915300546448087","4.082191780821918","4.043287671232877","3.0027397260273974","4.991344262295082","5.1979780821917805","6.752021917808219","5.578523287671233","6.382800000000001","5.709271232876712","9.802846575342466","8.707684931506849","10.339398907103826","10.214875342465753","10.651043835616438","10.614512328767121","13.295831147540984","13.11281506849315","15.676598630136988","16.016827397260275","13.983020765027323","14.512564722661875","14.339312596457953","14.566676154858357",""
"INTL.53-1-HUN-TBPD.A","        Hungary","","","","","","","","58","58","62","61","63","63","64","60","65","54","58","49","49","55.73698630136986","38.07945205479452","54.23293698630137","59.152939890710385","51.871372602739726","41.5301205479452","39.26694520547945","38.87650273224044","39.16165479452055","37.72877534246575","43.56457808219178","46.999387978142074","37.76809589041096","37.611342465753424","33.06520821917808","37.533334972677594","34.69905890410959","34.62242328767123","30.72528219178082","33.85487158469945","35.3886","30.012490410958904","33.1453","36.66363333333334","38.44027808219178","39.73092191780822","39.52169589041096","37.0459043715847","39.304695052116465","39.278810927349944","40.166683012859586",""
"INTL.53-1-IRL-TBPD.A","        Ireland","","","","","","","","-0.6","-0.2","-0.1","-0.1","-0.1","-0.1","-0.2","-0.2","-0.1","-0.0744301369863019","-0.2","-0.2","-0.2","","","","","","","","","","","","-0.153","-0.051","-0.182","-0.557","-0.413","-0.256","1.261","0.276","0.5732","0.4","0.419","0.21","0.308","0.414","0.5406","0.7704","0.7611","0.7761548398382766","0.7737427093042012","0.7780020279668767",""
"INTL.53-1-ITA-TBPD.A","        Italy","","","","","","","","68","68","65","78","82","84","67","85","109","102","109","104","112","86.27945205479452","88.0877506849315","96.32325753424658","103.5956475409836","113.37529315068493","108.07677260273972","86.14247397260274","77.97545628415301","64.16438356164383","84.87668493150684","90.42191780821918","152.86911202185792","160.77138356164383","158.24426301369863","162.41560273972604","162.3997486338798","139.69701232876713","166.5125794520548","156.72488219178084","151.8888131147541","181.02674246575341","175.69587123287673","181.3312589041096","142.89876338797814","128.73590547945204","143.13578082191782","123.50984794520548","152.2289338797814","146.79206246360994","131.36058909363848","147.45244566916938",""
"INTL.53-1-LVA-TBPD.A","        Latvia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","","","","","","","","","","","","0.2","0.3","0.3","0.5","0.9","1.2","1.186","1.229","1.9","1.429","1.581","1.249","0.922","1.595","1.595","1.595","1.595","1.595","1.595","1.595",""
"INTL.53-1-LTU-TBPD.A","        Lithuania","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","-0.5","","","","","","","","","","","","11.411","9.833","8.375","7.619","9.8238","8.7729","9.1888","8.4324","8.7439","8.784699999999999","8.3903","8.6091","8.2037","8.694899999999999","8.8007","8.7603","8.501600000000002","8.92044642802988","8.852519539862165","8.97392289817526",""
