Report generated on: 07-12-2024 00:37:33
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.7-1-GRC-TST.A","        Greece","25571.38738","30109.59765","30202.19169","33724.07214","35827.27962","39559.70128","41993.60176","49176.25372","53266.92613","57172.41046","57205.47976","58086.22545","60683.26781","60425.32727","62470.11232","63561.39922","65897.19411","64864.32964","67113.04204","68399.43781","70423.27897","73131.65464","77677.58108","75286.67069","77206.89471","76498.10938","71415.35797","73091.97148","72443.8132","71532.20283","62302.5612","64668.11846","69397.02836","59440.96444","56046.951949999995","50977.42825999999","35977.193779999994","41591.64221388","40221.969128","30176.2322895","15491.423816","13332.70510671","15105.09282106"
"INTL.7-1-HUN-TST.A","        Hungary","28687.61775","28941.14905","29143.97409","28124.33734","27927.02385","26556.85252","25751.06391","25501.94185","23306.14033","22401.14382","19654.1873","18888.08185","17464.99964","16349.46192","15524.93404","16283.32332","16820.14829","17376.81484","16168.68308","16035.30357","15468.71623","15337.54134","14359.79237","14661.82531","12392.16902","10549.1067","10970.18912","10822.47958","10366.12324","9905.35766","10045.35103","10532.57205","10240.4599","10535.87898","10528.16281","10208.492909999999","10158.888959999998","8787.615319999999","8706.04438","7547.51657","6751.64875","5498.32228","5432.18368"
"INTL.7-1-IRL-TST.A","        Ireland","66.1386","76.05939","68.34322","82.67325","77.1617","62.83167","59.52474","49.60395","49.60395","47.39933","27.55775","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ITA-TST.A","        Italy","1417.57066","1338.20434","2099.90055","1929.0425","1961.00949","2085.57052","1143.09547","1072.54763","1146.4024","1183.88094","1053.80836","1036.1714","787.04934","683.4322","294.31677","189.59732","151.01647","238.09896","208.33659","126.76565","154.3234","153.22109","179.67653","187.76013666667","191.23979333333","194.71945","184.442215","174.16498","128.97027","79.36632","111.33331","101.41252","88.1848","80.46863","94.79866","89.28711","0","0","0","0","0","0","0"
"INTL.7-1-LVA-TST.A","        Latvia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-LTU-TST.A","        Lithuania","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-LUX-TST.A","        Luxembourg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-MLT-TST.A","        Malta","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-NLD-TST.A","        Netherlands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-POL-TST.A","        Poland","253516.96996999942","218960.65378000008","250183.5845300034","257526.07144000413","266725.95069999667","274902.8862800035","285870.8707799982","293440.4335500035","293439.33123999595","274674.70811000135","237081.52786999734","230860.09022999567","218439.26115000033","218424.93112000055","220348.4620700003","220172.09247000032","221446.36283000078","220790.48837999985","196172.59914999997","187570.17191000056","178246.83392999985","179491.3419199991","177398.05523000096","179212.45748999936","178260.06165000107","174987.30326000004","171134.72981000048","159773.22063999964","157992.98999000044","148355.49365999998","146256.69541999983","152679.85579000035","158196.91733999952","156875.24764999846","150373.82326999932","149146.95223999908","143996.02873660965","139597.20639985788","134432.13778599","123405.77825532008","110638.11835691865","118346.0893751401","119269.02099122004"
