Report generated on: 07-12-2024 00:35:57
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.3-1-BGD-BCF.A","            Bangladesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","170","173","216","215.77","234.84","260.27","266.9814","269.45345","289.583","319.60075","342.5555","363.7445","391.9965","429.07725","462.6265","494.41","541.0258","574.57505","632.1385","692.174","710.89095","710.18465","777.98945","805.182","844.0285","948.60906648165","NA","NA","","","","",""
"INTL.3-1-BRB-BCF.A","            Barbados","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.20071","1.165395","1.69512","1.659805","1.62449","1.659805","1.589175","1.518545","1.306655","1.659805","1.33886934097421","1.13790315186246","1.024135","1.024135","1.05945","0.972241833810888","0.991252148997135","0.738686532951289","0.688897612225406","0.62190888252149","0.613761604584527","0.627340401146132","0.718770964660936","0.841885386819484","0.515089016236867","0.626435148042025","NA","NA","","","","",""
"INTL.3-1-BLR-BCF.A","            Belarus","--","--","--","--","--","--","--","--","--","--","--","--","10.24","10.24","10.24","10.59","10.59","7.063","7.7693","7.41615","7.098315","7.063","6.70985","5.6504","6.3567","6.07418","6.00355","5.6504","5.36788","5.29725","7.663355","7.7693","7.41615","8.05182","7.7693","8.440285","NA","NA","","","","",""
"INTL.3-1-BEL-BCF.A","            Belgium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.42","0.318","0.212","0.1413","0.04","0","0.07063","0","0","0","0.07063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-BLZ-BCF.A","            Belize","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-BEN-BCF.A","            Benin","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-BMU-BCF.A","            Bermuda","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-BTN-BCF.A","            Bhutan","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-BOL-BCF.A","            Bolivia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","186","192","206","197.41","209.06","188.94","186.4632","188.93525","189.64155","175.8687","197.764","252.50225","313.5972","360.9193","446.73475","518.77735","517.36475","536.788","541.0258","473.57415","526.1935","580.93175","658.9779","751.15005","767.39495","741.615","NA","NA","","","","",""
"INTL.3-1-BIH-BCF.A","            Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","0.812","0","0","31.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-BWA-BCF.A","            Botswana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-BRA-BCF.A","            Brazil","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","252","232.82","246.34242350937","260","274.04","280.75","323.4854","348.2059","381.04885","420.2485","469.33635","494.41","548.44195","557.62385","599.29555","625.0755","625.42865","640.96725","762.45085","746.241265","809.77295","850.03205","912.04519","994.788235","1126.301295","1238.1439","1338.0898846726","1416.7333275432","","","","",""
"INTL.3-1-VGB-BCF.A","            British Virgin Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-BRN-BCF.A","            Brunei","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","334","337","313","351.7374","358.45","395.18","391.64335","390.5839","379.63625","400.82525","416.36385","434.3745","453.79775","473.221","474.28045","474.28045","505.0045","503.23875","501.473","427.3115","443.20325","476.39935","454.1509","456.2698","419.89535","439.67175","NA","NA","","","","",""
