Report generated on: 07-12-2024 00:40:26
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.79-1-LVA-TBPD.A","        Latvia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0.24","0.33","0.48","0.86","1.212216","1.194953","1.251452","1.661929","1.24212","1.351","1.24929","0.90612","1.13291","1.8401","1.5639","1.58134","1.32472","1.58312"
"INTL.79-1-LTU-TBPD.A","        Lithuania","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0.08","0.24","0.5","0.79","1.68","2.633568","2.612028","2.036837","2.318103","2.55047","2.33598","2.42561","2.12769","2.38247","3.10158","3.3291","3.53971","3.23237","3.34331"
"INTL.79-1-LUX-TBPD.A","        Luxembourg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.79-1-MLT-TBPD.A","        Malta","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.019994","0.019994","0.009997","0.02218","0.02207","0.01774","0.01361","0.00517","0","0","0","0","0"
"INTL.79-1-NLD-TBPD.A","        Netherlands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0.1","0.65","1.87","1.83","5.433841","8.437266","12.391504","25.38504","32.81013","30.83742","29.20591","26.21181","34.58453","32.96729","35.28937","35.48922","36.60848","34.86109"
"INTL.79-1-POL-TBPD.A","        Poland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.2","3.32","3.83","2.97","7.3","10.835151","11.192263","10.427318","14.626934","15.45165","16.06146","17.52878","19.95841","19.84157","19.56848","21.19245","21.08889","22.66386","23.94176"
"INTL.79-1-PRT-TBPD.A","        Portugal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.79","3.57","3.23","4.928809","6.227907","7.25834","5.538525","5.4789","6.00943","6.44083","5.99496","6.4123","6.51537","7.04255","5.98854","5.78311","5.55621"
"INTL.79-1-ROU-TBPD.A","        Romania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.44","1.82","1.725897","1.006966","3.067802","3.099006","3.25847","2.20241","3.44594","4.16706","3.84005","4.04519","4.79973","6.08182","5.13217","4.93516"
"INTL.79-1-SVK-TBPD.A","        Slovakia","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0.75","0.06","0.04","0.24","0.69","0.95","1.41","3.66","3.915881","4.403563","4.551199","3.905039","3.53685","3.54043","3.57637","3.89788","3.89","4.01015","4.17322","4.30881","4.25545","4.25946"
"INTL.79-1-SVN-TBPD.A","        Slovenia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0.1","0.16","0.138626","0.395839","0.009781","0.018898","0.0304","0","0","0","0","0","0","0","0","0"
"INTL.79-1-ESP-TBPD.A","        Spain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6","1.61","3.5","5.06","6.25","8.25","8.26","10.61","10.42","22.450241","25.405602","21.238563","15.094307","20.40157","29.89568","28.2166","30.19991","38.9941","39.81908","45.04842","42.40488","41.22367","40.56754"
"INTL.79-1-SWE-TBPD.A","        Sweden","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.45","1.07","1.09","1.35","1.56","1.53","1.9","3.9","9.839608","8.532311","9.304333","7.973908","5.75851","5.51619","5.40983","5.32386","4.99007","8.47574","9.8186","9.63423","11.42044","10.9682"
"INTL.79-1-NOEC-TBPD.A","    Non-OECD","64.6","72.7","101","137.1","195.2","205","182.2","198.3","203.3","206.4","206.1","223.1","205","197","217.8","221.6","244.6","268.5","244.3","225.3","188.24","202.22","228.62","270.52","276.4","310.64","331.42089545","415.69679931","545.48637147","537.26921122","614.21421466","603.33134828","647.80091075","745.61103988","805.84195","793.44337455","817.29193","838.645554153","1006.61381921","1182.276740147","1119.4702331","1099.63902603","1184.67198174"
"INTL.79-1-AFG-TBPD.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
